House_Size,Num_Bedrooms,Num_Bathrooms,Location,Year_Built,Garage,Price
1835.7637921321711,1,3,Urban,1977,No,120281.29287133606
706.7304360257729,1,2,Urban,2013,No,188690.43438991182
429.93464090305906,3,1,Rural,2022,No,260630.21147083456
1493.0060949789424,4,3,Rural,2022,Yes,146220.76385679984
938.5827775559658,5,1,Urban,1978,Yes,317804.1126376031
2331.021374220763,4,2,Suburban,1967,Yes,145455.7879039342
987.1887136242312,5,1,Rural,2016,No,221675.28542212446
822.6462000176564,3,3,Suburban,2021,Yes,178591.72453949842
1763.2524932204042,2,1,Suburban,1957,No,113752.23024639825
1819.6625059977753,5,2,Suburban,2008,Yes,102532.91602661158
1400.7926545545001,2,3,Rural,1964,Yes,153749.1637175987
1303.2183083987004,1,1,Suburban,1989,No,102044.06183960689
1492.9645400901554,3,2,Urban,1966,No,229479.2303243175
1732.025052717045,2,3,Urban,1999,Yes,293420.42493019765
933.7126895131314,2,3,Urban,2018,No,200812.19330000083
1534.5978703399094,4,3,Suburban,1978,No,210993.89805727638
1815.9926672650129,5,3,Urban,2020,Yes,155306.7414377114
1239.4784065022611,3,1,Suburban,2003,No,253302.26826255384
1506.7760839338644,5,3,Rural,2022,No,200694.09472522783
602.6983966097571,2,3,Rural,1964,Yes,116998.91865223937
1786.9228420032703,1,2,Suburban,1979,No,254091.43502959266
635.8114161335565,5,3,Suburban,1979,No,219698.17160481136
1586.9972044504696,1,2,Suburban,1952,Yes,80372.45671052406
1605.1039521076093,5,2,Rural,2015,No,95924.4348702763
1987.390093767321,5,1,Suburban,1982,No,252871.7798440745
2147.304112281643,3,3,Urban,1966,Yes,379967.3769752246
1213.3642835748865,4,3,Rural,2017,No,233757.75138280282
721.1998100649026,3,2,Suburban,1964,No,166060.9208482489
1615.4797661148664,2,3,Urban,1957,No,137054.4260948034
1582.679291488464,1,1,Rural,1986,No,333730.39300522325
1588.3615446039207,5,3,Urban,1990,No,297645.7438733268
2004.4622604662268,5,1,Rural,1978,Yes,199248.40357013792
1433.3492253426646,2,1,Suburban,2001,Yes,258520.60288749178
606.4723650520477,5,2,Suburban,1981,No,187575.16836936242
593.5232006959287,3,1,Rural,1983,No,247970.02672158176
698.8984570496675,5,2,Rural,2009,No,253931.4212040929
1129.1873474390654,5,3,Rural,1955,No,213356.0506369933
2311.289858506117,1,3,Suburban,1979,No,237322.99683047622
1141.3093809891884,3,2,Suburban,1983,No,175184.24994517743
1762.196440232997,2,1,Rural,1964,Yes,229377.12513781263
1570.6423949900495,3,3,Urban,2021,No,160106.4272482861
1693.522707200862,5,2,Rural,2022,Yes,262936.7223137536
1187.6256384371181,1,2,Suburban,2011,Yes,140559.74355097118
1446.3368018138844,3,1,Urban,1971,No,252570.13933716953
1422.1136918789102,1,3,Rural,1958,No,321621.48812215764
753.4127969639351,4,3,Rural,1983,No,115732.71110678991
1457.4697986634496,2,2,Rural,2009,Yes,271978.5073994464
1955.8780560908722,1,3,Suburban,1976,Yes,97176.13518848292
1589.8333635278123,1,2,Urban,1951,No,134717.91184638333
1575.09875274443,1,2,Suburban,2004,No,180356.505190693
2208.9304982914678,4,2,Urban,1953,No,259007.00323088854
1430.5822602999413,5,1,Urban,2011,Yes,246694.56114305643
1431.9337911693065,1,1,Urban,1964,No,169574.79788111246
2630.715967353667,1,1,Suburban,2019,Yes,160766.21465355656
1961.5097381915002,2,2,Rural,1993,Yes,174693.65266913178
1834.9923194115056,3,1,Urban,1991,Yes,201661.95744924573
2074.5985318576595,1,1,Urban,2013,No,317982.95181679365
1522.7125375793205,4,3,Urban,1954,Yes,439153.21323460824
